韓國 BRIO 深烤煎煮鍋,Dr.HOWS,,2980,https://market.icook.tw//products/brio,"品名：Dr. HOWS 卡式瓦斯爐,內容物：卡式爐、專屬收納盒,顏色：冰河白、芭蕾粉,尺寸：W26 x D34.8 x H10.6cm,重量：1.75kg,耗氣量：3.0kw,材質：<code>爐身</code> PBT／<code>爐面</code> CR,認證：通過國家 CNS 標準認證,產地：韓國品牌，韓國設計，中國製造,<span style=""color: #c0504d;"">注意事項：</span>本商品無附瓦斯罐"
MELLO 碳融鍋,Hard Crafts,2476420,2580,https://market.icook.tw//products/mello,"品名：HYBRID 多元料理鍋／可立式微壓力鍋蓋,規格：Φ28cm,尺寸：W50 x H17cm／<code>鍋蓋</code> Φ28cm,重量：1.25kg／<code>鍋蓋</code> 1.2kg,容量：3L,材質：<code>鍋身</code> 5mm 鑄造鋁合金／<code>把手</code> 耐熱電木／<code>鍋蓋</code> 強化玻璃,塗層：碳融合不沾表層,耐熱：<code>鍋身</code> 260℃／<code>把手</code> 180℃（勿乾燒）,產地：歐美設計，中國製造,適用於：烤箱、瓦斯爐、電磁爐、電陶爐、IH爐、洗碗機,認證：通過台灣SGS、德國LGA、美國FDA認證，不含PFOA、PFOS、鉛、鎘等物質零檢出。"
韓國NEOFLAM FIKA粉色系列鍋具,韓國NEOFLAM,,5499,https://market.icook.tw//products/fika-pink,"品名：韓國 NEOFLAM FIKA 粉色系列鍋具,"
台灣製 LMG 不鏽鋼鴛鴦鍋,LMG,,990,https://market.icook.tw//products/lmg,"品名：三入組彎折湯勺,內容物：大湯勺、小湯勺、濾勺x1,材質：304 不鏽鋼,產地：台灣品牌、台灣製造"
韓國製鈦雙面早午餐鍋,韓國 HAPPYCALL,,1580,https://market.icook.tw//products/happycallbrunchpan,"品名：HAPPYCALL 鈦電漿餅乾鍋,尺寸：W24xD19xH2.2cm（不含把手）,重量：1.1kg,材質：<code>鍋身</code> 鋁合金／<code>內塗層</code> 鈦電漿塗層／<code>外塗層</code> 陶瓷塗層,產地：韓國設計，韓國製造,適用於：瓦斯爐、黑晶爐、電陶爐,注意事項：不適用於 IH 爐、電磁爐"
不鏽鋼 IH 川燙油炸多用途鍋,韓國 HAPPYCALL,,3360,https://market.icook.tw//products/happycallfryer,"品名：HAPPYCALL 不鏽鋼調理缽,尺寸：∅24x18.2cm,重量：1.1kg,材質：304 不鏽鋼,產地：韓國品牌，韓國設計，越南製造"
THANKFUL膳夫鍋,THANKFUL,,3960,https://market.icook.tw//products/thankful,"品名：INSP 牛奶鍋（含鍋蓋）,規格：18cm,尺寸：<code>鍋體</code> Φ18 x H9.2cm,重量：682g (含蓋1.09kg),材質：<code>鍋身</code> 3mm鑄壓鋁合金／<code>把手</code> 耐熱電木,塗層：3 層美國頂級奈米不沾塗層,耐熱：<code>鍋身</code> 260℃／<code>把手</code> 180℃（勿乾燒）,產地：台灣設計，中國製造,適用於：瓦斯爐、電磁爐、電陶爐、IH爐、冰箱、洗碗機,認證：<a href=""https://imgur.com/a/rA20mMe"" rel=""nofollow noopener"" target=""_blank"">SGS 不含致癌物質、PFOS／PFOA 零檢出</a>"
韓國Dogado 天然陶瓷鍋具六件組,Dogado,,4580,https://market.icook.tw//products/dogado,"品名：多用途矽膠隔熱墊,顏色：米灰色、岩灰色、森林綠、磚紅棕,材質：耐熱矽膠,尺寸：160×160×6.5mm,重量：120g,產地：韓國設計，中國製造"
韓國石墨烯 IH 瞬熱不沾鍋,韓國 HAPPYCALL,6781943,3980,https://market.icook.tw//products/happycallpots,"品名：HAPPYCALL 石墨烯 IH 瞬熱不沾鍋具,系列商品：平底鍋、深炒鍋、四方煎鍋、玻璃鍋蓋、單柄湯鍋,尺寸："
義大利DOMO極致礦物不沾鍋 ,DOMO,,2280,https://market.icook.tw//products/dolomiti-domo,"品名：礦石革新深炒鍋,規格：32cm,尺寸：<code>鍋體</code> Φ32 x H12.4,重量：1kg,材質：<code>鍋身</code> 超導熱鋁合金／<code>把手</code> 耐熱電木,塗層：Hoplon 神盾航太矽晶塗層,耐熱：<code>鍋身</code> 400°C／<code>把手</code> 180°C（勿乾燒）,產地：義大利設計製造,適用於：瓦斯爐、電磁爐、電陶爐、IH爐、冰箱、洗碗機"
韓國製ARISU不沾羽量級烤盤,arisu,,2180,https://market.icook.tw//products/arisu,"品名：煎烤盤專用收納袋,顏色：黑色,尺寸：D42 x W36 cm ,重量：500g,材質：poly600D,產地：韓國設計，韓國製造,,"
日本Remy多功能頂級不沾鍋,Remy,4129193,4780,https://market.icook.tw//products/remypan,"品名：蒸鍋,尺寸：W27.7 x D27.7 x H90cm,重量：460g,材質：鋁合金（氟樹脂塗層）,產地：日本品牌、日本製造"
JIA 虹彩琺瑯不鏽鋼鍋,JIA Inc. 品家家品,,1880,https://market.icook.tw//products/jia-enamel,"品名：JIA 虹彩鋼琺瑯雙耳鍋 20cm（含蓋）,款式：黑／粉紅,尺寸：∅21 x H12.3cm,重量：<code>鍋身</code> 930g／<code>鍋蓋</code> 660g,容量：3.8L,材質：琺瑯、不鏽鋼、高硼矽耐熱玻璃,產地：中國,適用於：瓦斯爐、電磁爐、烤箱、冰箱,不適用：微波爐"
CRANE 琺瑯鑄鐵鍋,CRANE,,3501,https://market.icook.tw//products/crane,"品名：鑄鐵黑琺瑯雙耳深鍋,規格：∅23 x H12.5cm,重量：5.6kg,保固：10 年"
氣煎料理舒壓鍋,SHOWA,,5800,https://market.icook.tw//products/showa,"品名：SHOWA 氣煎料理舒壓鍋,尺寸：∅30xH20cm,容量：7L,重量：4.8kg,材質：CNS 304 不鏽鋼,內容物：湯鍋、內鍋、煎盤蓋、悶蒸蓋、說明書,適用於：瓦斯爐、電磁爐、IH 爐、鹵素爐、卡式爐,不適用：微波爐,產地：台灣品牌，台灣設計，台灣製造"
韓國NEOFLAM FIKA白色系列鍋具,韓國NEOFLAM,,5499,https://market.icook.tw//products/fika,"品名：韓國 NEOFLAM FIKA 白色系列鍋具,"
德國Kochstar彩晶琺瑯鍋,Kochstar,,3040,https://market.icook.tw//products/kochstar,"品名：尼爾系列琺瑯鍋具,系列商品：單柄湯鍋、低身湯鍋、高深湯鍋,尺寸："
法國砧板刀具殺菌烘乾機,法國 THOMSON,2575910,2490,https://market.icook.tw//products/threeinone-uv,品名：食品真空保鮮袋 10 入組 
